userid,gender,age,agegroup,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,longitude,latitude,country,district,province,city
user-drc-1280555-1840,Male,20,20 - 29,Roads,Electricity,Dissatisfied,School,Electricity,Electricity,Electricity,Daily,Yes,Once a week,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-6051772-335,Male,22,20 - 29,Sanitation,Electricity,Neutral,Health clinic,School,Health clinic,School,Daily,Yes,Once a week,17.36918,-3.3268,Democratic Republic of Congo,,Bandundu,
user-drc-8738903-1555,Male,27,20 - 29,School,School,Satisfied,Roads,Roads,Roads,Health clinic,Daily,Yes,Once a week,25.11,0.32,Democratic Republic of Congo,,Oriental,
user-drc-4552861-1322,Male,31,30 - 39,Roads,Water,Dissatisfied,,Electricity,Electricity,Health clinic,Daily,No,Never,28.29943,-3.011658,Democratic Republic of Congo,,Sud Kivu,
user-drc-5481686-186,Male,19,10 - 19,School,School,Satisfied,Water,School,School,School,Daily,No,Never,15.31389,-4.331666,Democratic Republic of Congo,Mont Amba,Kinshasa,Kinshasa
user-drc-9168032-1593,Male,32,30 - 39,Water,Health clinic,Dissatisfied,Water,Roads,Sanitation,Sanitation,Less than once a month,Yes,Once a week,15.31389,-4.331666,Democratic Republic of Congo,Mont Amba,Kinshasa,Kinshasa
user-drc-9109617-27,Male,47,40 - 49,Water,Sanitation,Dissatisfied,Water,Water,Electricity,Water,Daily,Yes,Never,14.12535,-4.96341,Democratic Republic of Congo,,Bas Congo,
user-drc-2153840-615,Male,41,40 - 49,Health clinic,Roads,Satisfied,Health clinic,Electricity,Electricity,Health clinic,Daily,Yes,Once a week,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-8860926-286,Female,16,10 - 19,Health clinic,Electricity,Dissatisfied,Health clinic,Water,Roads,School,Once a week,Yes,Never,17.36918,-3.3268,Democratic Republic of Congo,,Bandundu,
user-drc-7220374-509,Male,41,40 - 49,Health clinic,Health clinic,Dissatisfied,School,School,Health clinic,Electricity,Once a week,Yes,Never,28.29943,-3.011658,Democratic Republic of Congo,,Sud Kivu,
user-drc-1493204-1429,Male,23,20 - 29,School,Water,Neutral,Electricity,Electricity,Roads,Electricity,Daily,No,Never,27.47955,-11.66468,Democratic Republic of Congo,Haut-Katanga,Katanga,Lubumbashi
user-drc-6129678-356,Male,19,10 - 19,Water,Health clinic,Neutral,Water,Roads,Roads,,Daily,Yes,Once a year,25.11,0.32,Democratic Republic of Congo,,Oriental,
user-drc-4271909-1659,Male,30,30 - 39,Electricity,Sanitation,Dissatisfied,Water,Electricity,Electricity,Electricity,Daily,Yes,Never,15.31389,-4.331666,Democratic Republic of Congo,Mont Amba,Kinshasa,Kinshasa
user-drc-8196959-410,Male,61,50+,Roads,School,Dissatisfied,School,Roads,Roads,Health clinic,Less than once a month,No,Once a week,25.11,0.32,Democratic Republic of Congo,,Oriental,
user-drc-1750898-527,Female,32,30 - 39,Electricity,Electricity,Dissatisfied,School,Electricity,Water,Sanitation,Daily,Yes,Never,12.35,-5.933333,Democratic Republic of Congo,Basuki,Bas Congo,Muanda
user-drc-9562011-1501,Male,28,20 - 29,School,School,Satisfied,School,Electricity,Water,Electricity,Daily,Yes,Once a week,17.36918,-3.3268,Democratic Republic of Congo,,Bandundu,
user-drc-3836176-1771,Male,31,30 - 39,School,School,Satisfied,Water,Electricity,Roads,Electricity,Daily,Yes,Once a week,28.84508,-2.515364,Democratic Republic of Congo,Bukavu 2,Sud Kivu,Bukavu
user-drc-3281384-1390,Male,47,40 - 49,School,School,Satisfied,School,School,Electricity,School,Daily,Yes,Once a month,26.40397,-1.452034,Democratic Republic of Congo,Punia,Maniema,Punia
user-drc-4479656-311,Male,23,20 - 29,Water,Health clinic,Satisfied,Water,Health clinic,Water,Health clinic,Daily,No,Never,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-7179800-536,Male,45,40 - 49,Roads,Water,Neutral,School,Health clinic,Sanitation,Electricity,Daily,Yes,Once a year,25.46667,-10.71667,Democratic Republic of Congo,Kolwezi,Katanga,Kolwezi
user-drc-4364512-1170,Male,26,20 - 29,School,School,Dissatisfied,School,School,Water,School,Daily,Yes,,18.80762,0.5693591,Democratic Republic of Congo,,Equateur,
user-drc-2218072-141,Male,51,50+,,School,Dissatisfied,School,School,School,School,Less than once a month,Yes,Once a week,19.3489,-5.103519,Democratic Republic of Congo,Kwilu,Bandundu,Bwalenge
user-drc-4459046-180,Male,23,20 - 29,Health clinic,School,Dissatisfied,Roads,Water,Water,Water,Once a week,Yes,Once a week,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-4510760-1038,Male,29,20 - 29,School,Sanitation,Neutral,School,School,Health clinic,Health clinic,Daily,No,Never,18.80762,0.5693591,Democratic Republic of Congo,,Equateur,
user-drc-1409595-267,Male,42,40 - 49,School,Electricity,Dissatisfied,School,Water,School,School,Less than once a month,Yes,Once a year,19.13333,-5,Democratic Republic of Congo,Kwilu,Bandundu,Pomongo
user-drc-4760860-121,Male,16,10 - 19,School,Health clinic,Neutral,Electricity,Sanitation,Sanitation,School,Daily,Yes,Never,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-4228294-1186,Female,21,20 - 29,School,Roads,Neutral,School,School,School,School,Daily,Yes,Once a month,25.11,0.32,Democratic Republic of Congo,,Oriental,
user-drc-4970122-1470,Male,27,20 - 29,School,Electricity,Dissatisfied,School,Electricity,School,School,Daily,Yes,Never,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-5449455-153,Male,49,40 - 49,Roads,Roads,Satisfied,School,Water,Water,Water,Once a week,Yes,Never,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-6204937-1556,Male,20,20 - 29,School,Water,Neutral,School,School,Health clinic,School,Daily,Yes,Never,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-6475920-1158,Male,43,40 - 49,School,Roads,Dissatisfied,School,School,School,School,Daily,Yes,Once a week,15.31389,-4.331666,Democratic Republic of Congo,Mont Amba,Kinshasa,Kinshasa
user-drc-7746137-1392,Male,35,30 - 39,School,Roads,Dissatisfied,School,Sanitation,Sanitation,Sanitation,Once a week,No,Never,15.31389,-4.331666,Democratic Republic of Congo,Mont Amba,Kinshasa,Kinshasa
user-drc-4564620-763,Male,46,40 - 49,Roads,Water,Neutral,Sanitation,Roads,Roads,Roads,Daily,Yes,Once a year,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-1412793-116,Female,19,10 - 19,School,Electricity,Satisfied,Health clinic,Roads,Electricity,Electricity,Daily,No,,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-7324414-179,Female,31,30 - 39,Sanitation,Water,Satisfied,Electricity,Roads,School,Health clinic,Daily,Yes,Never,18.80762,0.5693591,Democratic Republic of Congo,,Equateur,
user-drc-1380143-864,Female,19,10 - 19,School,Roads,Neutral,Health clinic,School,Roads,Electricity,Daily,Yes,Never,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-6518705-1129,Male,,,School,School,Neutral,School,Water,Water,Electricity,Less than once a month,No,Never,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-1293557-943,Male,33,30 - 39,Roads,Health clinic,Neutral,Health clinic,Roads,School,School,Less than once a month,Yes,Once a year,29.48504,0.48579,Democratic Republic of Congo,,Nord Kivu,
user-drc-7457539-879,Male,25,20 - 29,School,Sanitation,Satisfied,Roads,Sanitation,Sanitation,School,Daily,No,Once a year,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-7009825-1093,Male,27,20 - 29,Roads,Electricity,Satisfied,School,School,School,School,Once a week,Yes,,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-6060483-1019,Male,23,20 - 29,Water,Electricity,Neutral,Water,Roads,Electricity,School,Once a week,No,Once a month,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-3226042-1399,Female,24,20 - 29,Health clinic,Health clinic,Neutral,School,Health clinic,Health clinic,School,Daily,Yes,Once a month,17.36918,-3.3268,Democratic Republic of Congo,,Bandundu,
user-drc-1939365-120,Female,31,30 - 39,School,School,Neutral,School,Roads,Roads,School,Daily,Yes,Never,27.47955,-11.66468,Democratic Republic of Congo,Haut-Katanga,Katanga,Lubumbashi
user-drc-6352863-1665,Male,32,30 - 39,,Roads,Satisfied,Roads,Roads,Roads,Electricity,Less than once a month,Yes,Once a week,26.04139,-3.073093,Democratic Republic of Congo,,Maniema,
user-drc-7547832-805,Male,34,30 - 39,Roads,School,Dissatisfied,School,Electricity,School,Electricity,Daily,Yes,Once a week,18.80762,0.5693591,Democratic Republic of Congo,,Equateur,
user-drc-4867657-762,Male,30,30 - 39,Health clinic,,Dissatisfied,Roads,Electricity,Roads,School,Daily,Yes,Never,26.28952,-2.714926,Democratic Republic of Congo,Kalima,Maniema,Kalima
user-drc-9856559-1083,Male,23,20 - 29,Sanitation,Sanitation,Satisfied,Roads,Electricity,School,Electricity,Daily,Yes,Never,25.11,0.32,Democratic Republic of Congo,,Oriental,
user-drc-5235066-384,Female,39,30 - 39,Water,Health clinic,Neutral,Water,Roads,Roads,Roads,Daily,Yes,Once a week,25.11,0.32,Democratic Republic of Congo,,Oriental,
user-drc-2237967-1368,Male,22,20 - 29,School,Water,Neutral,Health clinic,School,Sanitation,School,Daily,Yes,Once a week,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-2342321-778,Female,17,10 - 19,Health clinic,School,Satisfied,School,Water,School,Water,Daily,No,Never,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-9831176-1424,Male,24,20 - 29,School,Electricity,Dissatisfied,School,Electricity,School,School,Daily,No,Once a month,26.04139,-3.073093,Democratic Republic of Congo,,Maniema,
user-drc-5867452-1162,Male,23,20 - 29,School,Health clinic,Dissatisfied,School,Roads,Electricity,Electricity,Once a week,No,Once a year,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-5132501-872,Male,22,20 - 29,School,Health clinic,Dissatisfied,School,Electricity,Roads,School,Once a week,Yes,Once a year,18.80762,0.5693591,Democratic Republic of Congo,,Equateur,
user-drc-6237329-1279,Male,45,40 - 49,Roads,Sanitation,Dissatisfied,Water,Roads,Sanitation,Health clinic,Less than once a month,No,Never,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-7639321-261,Male,31,30 - 39,Roads,School,Satisfied,School,School,School,School,Less than once a month,No,Once a month,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-7355811-375,Male,17,10 - 19,Electricity,Electricity,Neutral,Electricity,Electricity,Water,Electricity,Daily,Yes,Never,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-4494593-1745,Female,22,20 - 29,Roads,Roads,Neutral,School,Water,School,Health clinic,Daily,Yes,Never,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-6808881-244,Male,36,30 - 39,Roads,Roads,Satisfied,Roads,Electricity,Water,Water,Once a week,No,Once a week,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-6787943-485,Male,32,30 - 39,Roads,Electricity,Satisfied,School,School,School,School,Once a week,No,,26.04139,-3.073093,Democratic Republic of Congo,,Maniema,
user-drc-9834275-345,Female,27,20 - 29,School,School,Dissatisfied,Health clinic,Sanitation,School,School,Daily,Yes,Never,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-2490894-1610,Female,15,10 - 19,School,School,Satisfied,Health clinic,Electricity,Sanitation,School,Daily,Yes,Never,28.29943,-3.011658,Democratic Republic of Congo,,Sud Kivu,
user-drc-2494579-322,Male,24,20 - 29,Sanitation,,Dissatisfied,Sanitation,Electricity,Electricity,Electricity,Once a week,Yes,Never,29.2,-5.933333,Democratic Republic of Congo,Tanganyika,Katanga,Kalemie
user-drc-5705016-1065,Male,38,30 - 39,School,Water,Dissatisfied,School,Electricity,Electricity,Health clinic,Daily,No,Never,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-4332007-1120,Male,38,30 - 39,Health clinic,Health clinic,Neutral,Health clinic,Electricity,School,Health clinic,Once a week,No,Never,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-9309380-695,Male,18,10 - 19,School,Electricity,Satisfied,Electricity,Electricity,Electricity,Electricity,Daily,No,Never,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-4381155-450,Male,25,20 - 29,School,School,Neutral,Electricity,Roads,Roads,Roads,Daily,Yes,Once a week,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-4938003-88,Male,24,20 - 29,School,School,Neutral,School,School,School,School,Once a week,Yes,Once a week,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-4875360-223,Male,30,30 - 39,Electricity,Electricity,Dissatisfied,Electricity,Health clinic,Health clinic,School,Daily,No,Once a year,25.46667,-10.71667,Democratic Republic of Congo,Kolwezi,Katanga,Kolwezi
user-drc-5891500-1145,Female,15,10 - 19,Sanitation,Water,Satisfied,Roads,Roads,School,Sanitation,Less than once a month,No,Once a month,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-4847846-1433,Female,49,40 - 49,School,Electricity,Dissatisfied,Roads,Roads,Roads,School,Daily,Yes,Once a year,17.36918,-3.3268,Democratic Republic of Congo,,Bandundu,
user-drc-6940495-1580,Male,28,20 - 29,School,School,Dissatisfied,School,School,School,School,Daily,Yes,Never,17.36918,-3.3268,Democratic Republic of Congo,,Bandundu,
user-drc-4501002-165,Male,43,40 - 49,Roads,Sanitation,Satisfied,School,Electricity,Roads,School,Once a week,Yes,Never,15.31389,-4.331666,Democratic Republic of Congo,Mont Amba,Kinshasa,Kinshasa
user-drc-3785467-1267,Male,27,20 - 29,Electricity,Sanitation,Dissatisfied,Roads,Electricity,Health clinic,Electricity,,No,Once a month,27.47955,-11.66468,Democratic Republic of Congo,Haut-Katanga,Katanga,Lubumbashi
user-drc-1435984-1428,Male,23,20 - 29,Roads,Health clinic,Dissatisfied,Electricity,Sanitation,Sanitation,Sanitation,Daily,No,Never,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-7516451-1613,Female,17,10 - 19,Roads,Roads,Dissatisfied,School,Roads,Roads,Roads,Daily,Yes,Never,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-1894262-799,Male,19,10 - 19,School,Sanitation,Dissatisfied,Electricity,Roads,,Water,Once a week,No,Never,14.12535,-4.96341,Democratic Republic of Congo,,Bas Congo,
user-drc-9214549-373,Female,49,40 - 49,Roads,Roads,Neutral,Health clinic,Water,Electricity,School,Daily,No,Never,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-3820088-830,Male,30,30 - 39,Roads,Electricity,Dissatisfied,Sanitation,Health clinic,School,Roads,Daily,No,Never,25.11,0.32,Democratic Republic of Congo,,Oriental,
user-drc-5944150-294,Female,43,40 - 49,Sanitation,Sanitation,Neutral,Sanitation,Health clinic,Health clinic,Health clinic,Daily,No,Once a month,15.31389,-4.331666,Democratic Republic of Congo,Mont Amba,Kinshasa,Kinshasa
user-drc-2047304-962,Male,26,20 - 29,Roads,Sanitation,Satisfied,Roads,Electricity,Roads,School,Daily,No,Never,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-3543842-285,Female,20,20 - 29,School,Health clinic,Neutral,Water,School,Health clinic,Health clinic,Daily,Yes,Once a month,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-7102015-1206,Female,28,20 - 29,,Health clinic,Dissatisfied,Water,Health clinic,Health clinic,Health clinic,Daily,Yes,Never,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-6801296-206,Female,43,40 - 49,School,Roads,Dissatisfied,Sanitation,Electricity,Electricity,Electricity,Less than once a month,No,Once a week,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-7320500-233,Male,48,40 - 49,Health clinic,School,Dissatisfied,Health clinic,School,Health clinic,School,Daily,Yes,Once a week,25.11,0.32,Democratic Republic of Congo,,Oriental,
user-drc-8439097-1675,Male,32,30 - 39,School,Sanitation,Dissatisfied,Water,Sanitation,Sanitation,Sanitation,Daily,No,Never,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-7822481-1767,Male,23,20 - 29,Roads,Roads,Neutral,Water,Water,Water,Water,Daily,Yes,Once a week,26.04139,-3.073093,Democratic Republic of Congo,,Maniema,
user-drc-4636202-1085,Male,29,20 - 29,Roads,Health clinic,Dissatisfied,School,Roads,Electricity,School,Daily,No,Once a month,29.48504,0.48579,Democratic Republic of Congo,,Nord Kivu,
user-drc-2734570-390,Male,24,20 - 29,Electricity,Electricity,Dissatisfied,Water,Electricity,Electricity,Water,Daily,Yes,Once a month,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-3988443-386,Male,23,20 - 29,Electricity,Sanitation,Dissatisfied,Roads,Electricity,Electricity,Electricity,Daily,Yes,Never,15.31389,-4.331666,Democratic Republic of Congo,Mont Amba,Kinshasa,Kinshasa
user-drc-8537653-376,Male,29,20 - 29,School,Health clinic,Satisfied,Electricity,Roads,Roads,Roads,Daily,Yes,Once a month,18.80762,0.5693591,Democratic Republic of Congo,,Equateur,
user-drc-3370656-1118,Male,35,30 - 39,School,Sanitation,Dissatisfied,Roads,Electricity,Water,Health clinic,Daily,No,Once a week,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-8311886-1472,Female,30,30 - 39,School,Water,Dissatisfied,School,Roads,Roads,School,Once a week,No,Never,25.11,0.32,Democratic Republic of Congo,,Oriental,
user-drc-6481481-477,Male,28,20 - 29,School,Electricity,Satisfied,School,School,Water,School,Daily,Yes,Once a week,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-3718133-247,Female,24,20 - 29,School,Health clinic,Neutral,Health clinic,Health clinic,Electricity,Health clinic,,Yes,Once a month,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-4761265-1598,Male,44,40 - 49,School,Roads,Satisfied,School,School,School,School,Daily,Yes,Once a week,25.46667,-10.71667,Democratic Republic of Congo,Kolwezi,Katanga,Kolwezi
user-drc-1041782-1490,Male,22,20 - 29,School,Health clinic,Neutral,Water,Water,Sanitation,Roads,Daily,Yes,Once a week,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-4003431-594,Male,25,20 - 29,Electricity,Health clinic,Dissatisfied,Roads,Sanitation,Water,Sanitation,Daily,No,Never,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-5906849-123,Male,42,40 - 49,Roads,Sanitation,Dissatisfied,Roads,Water,Health clinic,School,Daily,Yes,Once a month,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-3431779-1164,Male,48,40 - 49,Roads,Electricity,Dissatisfied,Sanitation,Electricity,School,Water,Daily,Yes,,12.35,-5.933333,Democratic Republic of Congo,Baki,Bas Congo,Muanda
user-drc-6723612-971,Male,23,20 - 29,School,Health clinic,Dissatisfied,School,Electricity,School,Health clinic,Less than once a month,Yes,Never,14.12535,-4.96341,Democratic Republic of Congo,,Bas Congo,
user-drc-5429371-723,Male,41,40 - 49,School,School,Satisfied,Roads,Electricity,Roads,Water,Daily,No,Once a year,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-4063418-1748,Male,53,50+,Roads,Roads,Dissatisfied,School,Water,Water,School,Once a week,Yes,Once a month,15.31389,-4.331666,Democratic Republic of Congo,Mont Amba,Kinshasa,Kinshasa
user-drc-9940289-1210,Male,23,20 - 29,School,School,Neutral,School,School,School,School,Less than once a month,Yes,,17.36918,-3.3268,Democratic Republic of Congo,,Bandundu,
user-drc-8905186-200,Male,25,20 - 29,Roads,Roads,Neutral,Health clinic,Health clinic,Health clinic,Health clinic,Once a week,Yes,Once a week,26.04139,-3.073093,Democratic Republic of Congo,,Maniema,
user-drc-6973425-1070,Male,23,20 - 29,School,Health clinic,Dissatisfied,School,Electricity,Electricity,Electricity,Daily,No,Never,12.35,-5.933333,Democratic Republic of Congo,Kitona,Bas Congo,Muanda
user-drc-2237994-1688,Female,21,20 - 29,School,School,Dissatisfied,Electricity,Water,Health clinic,Roads,Daily,No,Once a year,25.11,0.32,Democratic Republic of Congo,,Oriental,
user-drc-4036861-525,Male,31,30 - 39,Sanitation,Sanitation,Neutral,Roads,School,Health clinic,School,Once a week,Yes,Once a year,25.11,0.32,Democratic Republic of Congo,,Oriental,
user-drc-4114069-1677,Male,26,20 - 29,Health clinic,School,Dissatisfied,School,Health clinic,Health clinic,Health clinic,Daily,No,Once a month,25.11,0.32,Democratic Republic of Congo,,Oriental,
user-drc-6156668-563,Female,21,20 - 29,School,Electricity,Dissatisfied,Roads,Electricity,School,School,Daily,Yes,Never,29.48504,0.48579,Democratic Republic of Congo,,Nord Kivu,
user-drc-5423278-709,Male,46,40 - 49,Roads,Roads,Neutral,Water,Roads,Roads,Roads,Once a week,Yes,Once a month,18.80762,0.5693591,Democratic Republic of Congo,,Equateur,
user-drc-1979236-1567,Male,43,40 - 49,Electricity,Sanitation,Dissatisfied,Water,Electricity,Electricity,Electricity,Less than once a month,Yes,Never,15.31389,-4.331666,Democratic Republic of Congo,Mont Amba,Kinshasa,Kinshasa
user-drc-8823609-691,Female,24,20 - 29,Water,School,Dissatisfied,Roads,Electricity,Water,Electricity,Once a week,No,Never,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-1003688-667,Male,29,20 - 29,Roads,Health clinic,Dissatisfied,School,Electricity,Electricity,Electricity,Less than once a month,Yes,Never,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-8913709-1568,Male,27,20 - 29,Water,Roads,Satisfied,School,Roads,School,School,Daily,Yes,Once a month,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-2670554-1331,Male,38,30 - 39,Health clinic,Health clinic,Neutral,Health clinic,Health clinic,Health clinic,Health clinic,Daily,Yes,Once a week,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-6959463-587,Female,21,20 - 29,Sanitation,School,Dissatisfied,Water,Sanitation,Health clinic,Health clinic,Less than once a month,Yes,Once a week,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-7405515-1812,Male,25,20 - 29,School,School,Satisfied,School,School,School,School,Daily,Yes,Once a week,29.48504,0.48579,Democratic Republic of Congo,,Nord Kivu,
user-drc-4989617-1028,Male,34,30 - 39,Sanitation,Sanitation,Neutral,Health clinic,Roads,Roads,Roads,Daily,Yes,Once a week,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-4258986-1099,Male,51,50+,Roads,Health clinic,Satisfied,Roads,Water,Electricity,Electricity,Once a week,No,Once a month,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-9085072-1653,Male,23,20 - 29,Electricity,School,Dissatisfied,Electricity,Sanitation,School,Health clinic,Daily,No,Never,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-7081818-288,Male,30,30 - 39,Water,Health clinic,Dissatisfied,Water,Sanitation,Health clinic,Sanitation,Daily,No,Never,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-7471912-861,Female,,,Water,Water,Satisfied,Electricity,Water,Water,Water,Once a week,No,Once a week,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-4083625-887,Female,23,20 - 29,Water,Sanitation,Dissatisfied,Water,Roads,School,Health clinic,Daily,No,Never,17.36918,-3.3268,Democratic Republic of Congo,,Bandundu,
user-drc-9045282-784,Male,27,20 - 29,Water,Water,Dissatisfied,Electricity,Water,Water,Health clinic,Daily,No,Once a month,15.31389,-4.331666,Democratic Republic of Congo,Mont Amba,Kinshasa,Kinshasa
user-drc-3478013-1823,Female,24,20 - 29,Sanitation,Sanitation,Satisfied,Electricity,Health clinic,Water,School,Once a week,Yes,Once a week,28.29943,-3.011658,Democratic Republic of Congo,,Sud Kivu,
user-drc-2089318-1147,Female,37,30 - 39,School,Health clinic,Satisfied,School,Electricity,Roads,Water,Daily,No,Never,15.31389,-4.331666,Democratic Republic of Congo,Mont Amba,Kinshasa,Kinshasa
user-drc-9401849-1806,Female,17,10 - 19,School,Health clinic,Neutral,School,School,School,Health clinic,Daily,Yes,Never,25.11,0.32,Democratic Republic of Congo,,Oriental,
user-drc-5828787-593,Male,43,40 - 49,,Electricity,Neutral,School,Water,Sanitation,School,Daily,No,Never,26.73333,-10.98333,Democratic Republic of Congo,Haut-Katanga,Katanga,Likasi
user-drc-6129966-898,Male,39,30 - 39,Electricity,Roads,Neutral,School,Roads,Roads,Roads,Once a week,No,Never,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-2886652-488,Male,32,30 - 39,Health clinic,School,Neutral,Health clinic,Roads,Roads,Health clinic,Daily,Yes,Once a month,14.12535,-4.96341,Democratic Republic of Congo,,Bas Congo,
user-drc-4882350-1260,Male,18,10 - 19,School,Sanitation,Neutral,School,Sanitation,Roads,Roads,Daily,Yes,Once a week,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-7528313-698,Male,19,10 - 19,School,Health clinic,Neutral,Health clinic,School,Water,School,,Yes,Once a week,14.12535,-4.96341,Democratic Republic of Congo,,Bas Congo,
user-drc-7286489-529,Male,23,20 - 29,School,Roads,Neutral,School,Health clinic,Health clinic,School,Daily,No,Once a week,25.11,0.32,Democratic Republic of Congo,,Oriental,
user-drc-9811669-1722,Female,26,20 - 29,Water,Water,Neutral,Sanitation,Roads,Roads,Roads,Daily,Yes,Never,15.31389,-4.331666,Democratic Republic of Congo,Mont Amba,Kinshasa,Kinshasa
user-drc-2240043-1713,Male,18,10 - 19,School,School,Dissatisfied,Health clinic,Health clinic,School,School,Less than once a month,No,Once a year,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-3849947-428,Male,23,20 - 29,,Electricity,Satisfied,Electricity,School,Health clinic,School,Daily,Yes,Never,14.12535,-4.96341,Democratic Republic of Congo,,Bas Congo,
user-drc-8965047-1090,Male,36,30 - 39,Sanitation,Sanitation,Satisfied,Sanitation,Roads,Sanitation,Sanitation,Daily,Yes,Once a year,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-5219268-5,Female,20,20 - 29,School,Health clinic,Dissatisfied,Water,Health clinic,Roads,Sanitation,Daily,Yes,Once a month,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-4749264-1670,Male,36,30 - 39,Water,Sanitation,Dissatisfied,School,Electricity,Electricity,Sanitation,Daily,No,Once a month,15.31389,-4.331666,Democratic Republic of Congo,Mont Amba,Kinshasa,Kinshasa
user-drc-6691863-904,Male,37,30 - 39,Electricity,Electricity,Neutral,Electricity,Electricity,School,Health clinic,Daily,Yes,Never,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-6779476-851,Female,57,50+,Roads,Roads,Dissatisfied,Roads,Roads,Water,Health clinic,Daily,Yes,Never,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-8031251-636,Male,22,20 - 29,School,Sanitation,Dissatisfied,Water,Sanitation,Sanitation,Water,Daily,Yes,Once a year,15.10689,-5.15425,Democratic Republic of Congo,Cataractes,Bas Congo,Nkandu
